week,date,icon,emoji,name,description,hashtags,comment,url
38,2021/09/20,starofdavid,✡️,Sukkot Begins,This weeklong autumnal Jewish celebration is centered around giving thanks for the fall harvest. ,#Sukkot,,
38,2021/09/20,pizza,🍕,National Pepperoni Pizza Day,"On September 20th, Pepperoni Pizza Day recognizes the most popular pizza ever created. ",#NationalPepperoniPizzaDay,,
38,2021/09/20,cheese,🧀 ,National Queso Day,"Order a side for the table or make your own at home, September 20 is National Queso Day. The cheesy dish is a staple at Tex-Mex restaurants and potlucks alike across the U.S.",#NationalQuesoDay,,
38,2021/09/21,dove,🕊️,International Day of Peace,The International Day of Peace was established in 1981 by the United Nations General Assembly. The United Nations invites all people to honour and commemorate the day through education and public awareness on issues related to peace.,#InternationalDayofPeace,,
38,2021/09/22,hobbit,🧑‍🦰,National Hobbit Day,"Hobbit Day, September 22, celebrates the birthday of the hobbits Bilbo and Frodo Baggins, two fictional characters in J. R. R. Tolkien's popular set of books The Hobbit and The Lord of the Rings.",#NationalHobbitDay,,
38,2021/09/22,leaf-fall,🍁,Fall Equinox,"The Autumn Equinox used to signify the end of the harvest. Nowadays, it means it's time to head outside and take in the beauty of the changing leaves before winter rushes in. ",#FallEquinox #AutumnEquinox,,
38,2021/09/22,cold-face,🥶,National Temperature Control Day,"The same day as the Fall Equinox, National Temperature Control Day is day to celebrate the coming of cooler weather and our HVAC systems, as well as a reminder to be prepared for fall and winter temperatures.",,,
38,2021/09/25,cooking-eggs,🍳,National Cooking Day,It's National Cooking Day! Time to whip up something delicious. COnsider asking your audience what their favorite family meal is. You can also use this day as an opportunity to highlight kitchens/kitchen remodels for Real Estate and/or Construction customers. ,#NationalCookingDay,,
38,2021/09/25,lobster,🦞,National Lobster Day,It's a crustacean celebration! Lobster is a widely loved and versatile seafood dish that gets its own day on September 25. ,#NationalLobsterDay,,
39,2021/09/26,family,👪,National Family Day,"Encourage your audiences to share their favorite family memories today. For Real Estate customers, you can use this day as an opportunity to share that you prioritize family values (if that's something your Realtor does).",#NationalFamilyDay,,
39,2021/09/28,house,🏠,National Neighbor Day,"On National Neighbor Day, draw attention to the importance of community. This day is particularly relevant for Real Estate customer that work with potential buyers. ",#NationalNeighborDay,,
39,2021/10/01,coffee,☕,International Coffee Day,Raise a mug to our favorite morning beverage! Schedule a post on the morning of October first to ring in International Coffee Day with your audience. You could also spin this into a local love post by highlighting a favorite local cafe or two.,#InternationalCoffeeDay,,
39,2021/10/01,cookie,🍪,National Homemade Cookie Day,"Happy National Homemade Cookie day! This holiday is a perfect one to recognize for restaurants, bakeries, and more. For real estate customers, consider highlighting his classi home-staging tip: ""Throw some cookies in the oven right before your open house! Doing so will add a warm, delicious smell to your home -- one that potential buyers are sure to remember!""",#NationalHomemadeCookieDay,,
40,2021/10/06,bicycle,🚲,National Walk and Bike to School Day,"For real estate clients, you can use National Walk and Bike to School Day as an opportunity to highlight local school districts or celebrate local infrastructure (bike paths, etc.). You can also highlight this day for your bike shops, activities and events customers, and more. ","#WalkToSchool , #BikeToSchool, NationaWalkandBiketoSchoolDay",,
