name,description,vertical,subvertical,url
National Hispanic Heritage Month,"Running from September 15 to October 15, Hispanic Heritage Month is all about paying tribute to the generations of Hispanic and Latino Americans who've enriched our communities in so many ways: business, art, cuisine, and more. ",,,
Fall will fly by fast.,"October and November are two of the most popular spending months of the year. Offering seasonally specific products or services is a great way to draw those dollars in your customer's direction. As the season changes and folks gear up for the holidays, try creating content that meets their needs and solves their problems. ",,,
It's time for Fall Break.,"Many schools across the country offer a break for students in October. That means parents looking to keep kids busy, college students coming home for the week, or families taking a quick vacation together. Try offering simple solutions to these problems, seasonal promotions, or highlight products to coincide with the break.",,,
Help out the host this season.,"Tailgating, potlucks, and gathering around a tv are staples during college football season. Plan to help out the hosts during this time by offering deals on catering, to-go specials, or even home maintenance promotions to keep things running smoothly when guests arrive.",General,,
Broadway is back.,The long-awaited return of Broadway has finally arrived. Audiences are back in theaters and they couldn't be happier.  ,General,,
Dreaming of Fall,"Sweltering temps don't seem to keep the internet from dreaming of crisp autumn nights, a cozy sweater, and spooky Halloween decor. Folks all over are engaging with audiences over their favorite fall scents, new decor ideas, and the question of whether or not it's too early to dream of fall at all. ",General,,
Tactile hobbies continue to rise,"Find a hobby, but make it cool. Folks are leaning into hands-on activities like colorful embroidery and one-of-a-kind leatherworking. Activities like bottle painting, ceramics, and crocheting, are popping up more and more on feeds across platforms. Can your customer offer tips to help crafters keep their new DIY hobby organized? Or maybe restaurants offering delivery or pick-up orders offer quick solutions to help creatives spend less time in the kitchen and more time focused on their latest project?   ",General,,
"The ""Greenaissance""","There’s a new sense of urgency to take better care of the planet. As people reevaluated their priorities during COVID, they realized they want to live more sustainably. Now, they're building new routines and taking action on a greener lifestyle. A recent study shows 4 in 5 consumers plan to continue taking action on a more sustainable lifestyle in their “new normal.” This means folks are looking to eat clean, buy green, and drive lean. They're looking for new ideas and products to help them on their way. Look to see if your customers provide any eco-friendly, sustainable products or utilize best practices in their business that are good for the planet.",General,,
Gardeners Rejoice,"This horticultural hobby shows no signs of slowing down this year. . Things like herb gardens, home-grown produce, and perfecting lawn care will all be top of mind. Do your customers offer any gardening services, weed/pest control services, or tips for yard maintenance? Maybe they can offer ways to use home-grown veggies in healthy recipes or guidance around the stress relieving properties of gardening.",General,,
Hurricane season,"The Atlantic hurricane season is the period in a year from June through November when hurricanes usually form in the Atlantic Ocean. Tropical cyclones in the North Atlantic are called hurricanes, tropical storms, or tropical depressions. In 2021, the NOAA predicted between 13 and 20 named storms (those with wind speeds of 39 mph. or higher), six to 10 hurricanes (with 74 mph. winds or higher) and three to five major hurricanes (with 111 mph. winds and above). Look to see if your customer offers warranties around hurricane damage or emergency services.",Home Services,,
Solar installations,"With a rise in increasingly unpredictable/extreme weather, many homeowners are considering and turning to solar power as an alternative to traditional energy sources. U.S. solar installations increased by 46% in the first quarter of 2021. There are some businesses that solely focus on solar installations and maintenance, but it is often a service provided across a number of home service verticals.  #SolarEnergy",Home Services,Construction Engineering,
Electricity conservation,"There are many ways to reduce the use of electricity in homes during the hotter months. Common recommendations include setting your thermostat to 78 degrees or more, utilizing fans, closing blinds in windows receiving direct sunlight, and not using large appliances like dishwashers, washing machines, and ovens. ",Home Services,Electrician,
Travel Planning,"70% of consumers are planning vacations this year. That means a larger audience for our consumers to connect with. Weekend trips or staycations are trending this year likely in more rural or secluded destinations. Now's the time to showcase the value our travel customers have to offer. Why choose their services? Why choose to stay with them rather than a brand they've stayed with before? Look to specific services or details about your travel customers that help them stand out. Also don't be afraid to think outside the box when it comes to travel planning (think boarding pets, vehicle storage, packing tips, or guides to local areas).",General,,
Hosting From Home,"While virtual meetups aren't going anywhere, folks are looking forward to hosting close family and friends in the somewhat near future. Think spruced up social spaces, fresh furniture ideas, and tips to get all that clutter under control. People are planning—and purchasing—for their post-quarantine lives. Consider how your customers can help. Think furniture DIY and inspo, potential first meals they'll serve, and outdoor living spaces.",General,,
Anyone Can Cook,"Limited dining options and quarantine in 2020 taught many folks how to take the fate of weeknight dinners into their own hands. In 2021, we're seeing the result of millions of home chefs flexing their skills and wanting to push their kitchen-prowess further. From new cookbooks to viral Tik Tok recipes, we'll see the cooking community come together more and more this year. How can you engage with at-home chefs or those looking to expand their palate. ",General,,
